city,state_id,state_name,county_name,lat,lng,density,ranking,Price,home_value
Santa Rosa,CA,California,Sonoma,38.4458,-122.7067,1619.6,2,$349,598342
Santa Ana,CA,California,Orange,33.7367,-117.8819,4690.9,2,$349,554918
Lansing,MI,Michigan,Ingham,42.7142,-84.5601,1158.9,2,$348,95692
Henderson,NV,Nevada,Clark,36.0133,-115.0381,1124.7,2,$348,365881
St. Paul,MN,Minnesota,Ramsey,44.9478,-93.1039,2272.3,2,$348,232207
Lakeland,FL,Florida,Polk,28.0557,-81.9545,642.7,2,$348,163852
Newark,NJ,New Jersey,Essex,40.7245,-74.1725,4508.4,2,$348,270620
Fort Collins,CO,Colorado,Larimer,40.5477,-105.0656,1120.5,2,$348,428344
Oyster Bay,NY,New York,Nassau,40.7846,-73.514,1108.1,2,$347,587595
Reading,PA,Pennsylvania,Berks,40.34,-75.9267,3465,2,$347,81038
Springfield,MO,Missouri,Greene,37.1943,-93.2916,784.1,2,$347,127910
Irvine,CA,California,Orange,33.6772,-117.7738,1604.7,2,$347,900414
Anchorage,AK,Alaska,Anchorage,61.1508,-149.1091,66.1,2,$347,326355
The Woodlands,TX,Texas,Montgomery,30.1738,-95.5134,1021.9,2,$347,391067
South Bend,IN,Indiana,St. Joseph,41.6767,-86.2696,944.5,2,$346,93990
Rockford,IL,Illinois,Winnebago,42.2596,-89.064,877,2,$346,97298
Savannah,GA,Georgia,Chatham,32.0286,-81.1821,517.7,2,$346,169512
Lincoln,NE,Nebraska,Lancaster,40.8099,-96.6784,1131.9,2,$346,193576
Jersey City,NJ,New Jersey,Hudson,40.7184,-74.0686,6878.3,2,$346,439761
Round Lake Beach,IL,Illinois,Lake,42.3791,-88.0811,2090.5,2,$345,157969
Flint,MI,Michigan,Genesee,43.0236,-83.6921,1108.4,2,$345,38356
Shreveport,LA,Louisiana,Caddo,32.4653,-93.7955,678,2,$345,148772
Plano,TX,Texas,Collin,33.0502,-96.7486,1555.8,2,$345,358154
Myrtle Beach,SC,South Carolina,Horry,33.7094,-78.8844,551.9,2,$345,257035
Davenport,IA,Iowa,Scott,41.5565,-90.6053,618.5,2,$345,137994
Canton,OH,Ohio,Stark,40.8078,-81.3676,1038.8,2,$344,75889
Santa Clarita,CA,California,Los Angeles,34.4175,-118.4964,1159.7,2,$344,590548
Chula Vista,CA,California,San Diego,32.6281,-117.0144,2090.7,2,$344,560839
Eugene,OR,Oregon,Lane,44.0564,-123.1174,1489.3,2,$344,336702
Chandler,AZ,Arizona,Maricopa,33.2825,-111.8514,1515.9,2,$344,351870
Salem,OR,Oregon,Marion,44.9233,-123.0244,1358.7,2,$343,288299
Concord,NC,North Carolina,Cabarrus,35.3933,-80.6369,571,2,$343,243162
Gilbert,AZ,Arizona,Maricopa,33.31,-111.7463,1398,2,$343,377732
Columbus,GA,Georgia,Muscogee,32.51,-84.8771,348.5,2,$343,144096
Lubbock,TX,Texas,Lubbock,33.5657,-101.8879,736.6,2,$343,153736
North Las Vegas,NV,Nevada,Clark,36.2883,-115.0888,933.1,2,$343,279433
St. Petersburg,FL,Florida,Pinellas,27.7931,-82.6652,1647.5,2,$342,243490
Tallahassee,FL,Florida,Leon,30.4551,-84.2527,731.2,2,$342,222850
Laredo,TX,Texas,Webb,27.5625,-99.4874,941.8,2,$342,143337
Peoria,IL,Illinois,Peoria,40.752,-89.6154,906.6,2,$342,128903
Avondale,AZ,Arizona,Maricopa,33.3873,-112.3235,698.1,2,$342,250501
Lafayette,LA,Louisiana,Lafayette,30.2082,-92.0325,874.7,2,$342,207845
Irving,TX,Texas,Dallas,32.8583,-96.9702,1386.2,2,$341,219244
Montgomery,AL,Alabama,Montgomery,32.3482,-86.2668,480.8,2,$341,123579
Visalia,CA,California,Tulare,36.3276,-119.3269,1352.8,2,$341,265697
McKinney,TX,Texas,Collin,33.2016,-96.667,1102.4,2,$341,348187
Wilmington,NC,North Carolina,New Hanover,34.2099,-77.8866,917.6,2,$341,280103
Chesapeake,VA,Virginia,Chesapeake,36.6778,-76.3023,276.8,2,$340,290906
Glendale,AZ,Arizona,Maricopa,33.5791,-112.2311,1494,2,$340,251284
Garland,TX,Texas,Dallas,32.91,-96.6304,1613.1,2,$340,190100
Kennewick,WA,Washington,Benton,46.1978,-119.1732,1144.9,2,$340,261827
Winter Haven,FL,Florida,Polk,28.0118,-81.7014,504.8,2,$340,179173
Scottsdale,AZ,Arizona,Maricopa,33.6872,-111.8651,535.1,2,$340,538673
Norfolk,VA,Virginia,Norfolk,36.8945,-76.259,1770.5,2,$339,222497
Killeen,TX,Texas,Bell,31.0753,-97.7297,1046.1,2,$339,145103
North Hempstead,NY,New York,Nassau,40.7912,-73.6688,1665.2,2,$339,752065
York,PA,Pennsylvania,York,39.9651,-76.7315,3211.3,2,$339,79508
Atlantic City,NJ,New Jersey,Atlantic,39.3797,-74.4527,1356.1,2,$339,147538
Nashua,NH,New Hampshire,Hillsborough,42.7491,-71.491,1115.1,2,$339,296733
Arlington,VA,Virginia,Arlington,38.8786,-77.1011,3511.4,2,$338,755757
Brownsville,TX,Texas,Cameron,25.9975,-97.458,534.4,2,$338,96801
Fremont,CA,California,Alameda,37.5265,-121.9843,1160.9,2,$338,1067855
Gulfport,MS,Mississippi,Harrison,30.4274,-89.0704,497.4,2,$338,135890
Evansville,IN,Indiana,Vanderburgh,37.9881,-87.5341,965.5,2,$338,103746
Hialeah,FL,Florida,Miami-Dade,25.8696,-80.3045,4184.1,2,$337,278985
Navarre,FL,Florida,Santa Rosa,30.4174,-86.8907,625.9,2,$337,264807
Bel Air South,MD,Maryland,Harford,39.5022,-76.3113,998.6,2,$337,326993
North Port,FL,Florida,Sarasota,27.0576,-82.1977,267.2,2,$337,228938
San Bernardino,CA,California,San Bernardino,34.1416,-117.2943,1347,2,$337,288258
Portland,ME,Maine,Cumberland,43.6773,-70.2715,1195.5,2,$337,342241
Enterprise,NV,Nevada,Clark,36.0091,-115.2278,1255.4,2,$336,349719
Bremerton,WA,Washington,Kitsap,47.5436,-122.7121,560.3,2,$336,306028
Green Bay,WI,Wisconsin,Brown,44.5148,-87.9895,887.2,2,$336,150867
Appleton,WI,Wisconsin,Outagamie,44.278,-88.3892,1150.9,2,$336,165837
Babylon,NY,New York,Suffolk,40.6925,-73.3586,1558.5,2,$336,394021
Spring Valley,NV,Nevada,Clark,36.0952,-115.2636,2378.2,2,$335,316139
Tacoma,WA,Washington,Pierce,47.2431,-122.4531,1675.7,2,$335,346987
Spartanburg,SC,South Carolina,Spartanburg,34.9442,-81.9251,713.9,2,$335,143985
Roanoke,VA,Virginia,Roanoke,37.2785,-79.9581,900.1,2,$335,140570
Gainesville,FL,Florida,Alachua,29.6804,-82.3459,814.2,2,$335,181632
Deltona,FL,Florida,Volusia,28.905,-81.2137,950.1,2,$335,184004
Kalamazoo,MI,Michigan,Kalamazoo,42.2749,-85.5882,1190,2,$334,124384
Thousand Oaks,CA,California,Ventura,34.1914,-118.8756,891.9,2,$334,793472
Hickory,NC,North Carolina,Catawba,35.741,-81.3223,515.4,2,$334,199460
Yonkers,NY,New York,Westchester,40.9466,-73.8673,4292.6,2,$334,420899
Moreno Valley,CA,California,Riverside,33.9244,-117.2045,1570.3,2,$334,353082
Fontana,CA,California,San Bernardino,34.0968,-117.4599,1906.8,2,$334,421308
College Station,TX,Texas,Brazos,30.5852,-96.2959,874,2,$333,267992
Fargo,ND,North Dakota,Cass,46.8651,-96.8292,949.4,2,$333,232754
Amarillo,TX,Texas,Potter,35.1984,-101.8316,748,2,$333,146337
Huntington,NY,New York,Suffolk,40.8521,-73.3823,826.1,2,$333,600189
Norwich,CT,Connecticut,New London,41.5495,-72.0882,538.1,2,$333,178171
Olympia,WA,Washington,Thurston,47.0417,-122.8959,1108,2,$332,353549
Waterbury,CT,Connecticut,New Haven,41.5582,-73.0361,1460,2,$332,139292
Salinas,CA,California,Monterey,36.6883,-121.6317,2564.3,2,$332,475428
Huntington,WV,West Virginia,Cabell,38.4109,-82.4345,1098.3,2,$332,100462
Huntington Beach,CA,California,Orange,33.696,-118.0018,2857.1,2,$332,842695
Clarksville,TN,Tennessee,Montgomery,36.5692,-87.3413,605.6,2,$332,172181
Santa Barbara,CA,California,Santa Barbara,34.4285,-119.7202,1799.4,2,$331,1130904
Glendale,CA,California,Los Angeles,34.1819,-118.2468,2525.4,2,$331,865166
Sunrise Manor,NV,Nevada,Clark,36.1783,-115.0487,2269.8,2,$331,205432
Grand Prairie,TX,Texas,Dallas,32.6871,-97.0208,1032.1,2,$331,202116
Overland Park,KS,Kansas,Johnson,38.887,-94.687,993.3,2,$331,314328
Hagerstown,MD,Maryland,Washington,39.6401,-77.7217,1229.4,2,$331,163793
Nampa,ID,Idaho,Canyon,43.5844,-116.5638,1090.5,2,$330,221185
Gastonia,NC,North Carolina,Gaston,35.2494,-81.1854,572,2,$330,181773
Frisco,TX,Texas,Collin,33.156,-96.8216,1059.7,2,$330,447524
Cedar Rapids,IA,Iowa,Linn,41.9662,-91.6783,712.9,2,$330,149217
Hemet,CA,California,Riverside,33.7341,-116.9969,1116.6,2,$330,192857
Paradise,NV,Nevada,Clark,36.0872,-115.1355,1758.7,2,$329,277589
Sioux Falls,SD,South Dakota,Minnehaha,43.5396,-96.7311,879.9,2,$329,217707
Vancouver,WA,Washington,Clark,45.6366,-122.5967,1447.8,2,$329,343573
Peoria,AZ,Arizona,Maricopa,33.7843,-112.2989,377.4,2,$329,311773
Waco,TX,Texas,McLennan,31.5599,-97.1882,599.5,2,$329,139340
Lorain,OH,Ohio,Lorain,41.4409,-82.184,1044,2,$329,97150
Erie,PA,Pennsylvania,Erie,42.1167,-80.0733,1948.6,2,$328,90896
Newport News,VA,Virginia,Newport News,37.1051,-76.5185,1005.1,2,$328,204422
Aurora,IL,Illinois,Kane,41.7638,-88.2902,1711.4,2,$328,207831
Fort Lauderdale,FL,Florida,Broward,26.1412,-80.1464,2029.7,2,$328,363174
Vallejo,CA,California,Solano,38.1125,-122.2342,1539.3,2,$328,432300
Murfreesboro,TN,Tennessee,Rutherford,35.849,-86.4121,863,2,$327,273971
Spring Hill,FL,Florida,Hernando,28.4798,-82.53,732.9,2,$327,178997
Tempe,AZ,Arizona,Maricopa,33.3881,-111.9319,1852.3,2,$327,320642
High Point,NC,North Carolina,Guilford,35.991,-79.9937,768.9,2,$327,169091
Medford,OR,Oregon,Jackson,42.3372,-122.854,1224.5,2,$327,306661
Danbury,CT,Connecticut,Fairfield,41.4015,-73.4709,777.6,2,$327,313183
Elk Grove,CA,California,Sacramento,38.4161,-121.3842,1594.1,2,$326,466413
Ontario,CA,California,San Bernardino,34.0393,-117.6064,1376.8,2,$326,437482
Frederick,MD,Maryland,Frederick,39.4337,-77.4141,1158.3,2,$326,289067
Vero Beach South,FL,Florida,Indian River,27.6132,-80.4163,939.5,2,$326,241116
Ocala,FL,Florida,Marion,29.178,-82.1511,490.4,2,$326,151784
Oceanside,CA,California,San Diego,33.2247,-117.3083,1643.7,2,$326,564715
Rancho Cucamonga,CA,California,San Bernardino,34.1247,-117.5667,1478.4,2,$325,550051
Garden Grove,CA,California,Orange,33.7787,-117.9601,3714.5,2,$325,600639
Cary,NC,North Carolina,Wake,35.7819,-78.8195,1101,2,$325,405844
Pembroke Pines,FL,Florida,Broward,26.0128,-80.3382,2031.8,2,$325,306696
Palmdale,CA,California,Los Angeles,34.5944,-118.1057,557.8,2,$325,331708
Manchester,NH,New Hampshire,Hillsborough,42.9848,-71.4447,1312.6,2,$324,257613
Lafayette,IN,Indiana,Tippecanoe,40.3991,-86.8593,953.6,2,$324,125739
Santa Cruz,CA,California,Santa Cruz,36.9789,-122.0346,1970.2,2,$324,928827
Marysville,WA,Washington,Snohomish,48.0809,-122.1561,1295.4,2,$324,381925
Muskegon,MI,Michigan,Muskegon,43.2281,-86.2562,1018.7,2,$324,83921
Springfield,IL,Illinois,Sangamon,39.7709,-89.654,726,2,$324,132516
Hayward,CA,California,Alameda,37.6328,-122.0766,1338.3,2,$323,651907
New Bedford,MA,Massachusetts,Bristol,41.6697,-70.9428,1840.8,2,$323,257531
Alexandria,VA,Virginia,Alexandria,38.8185,-77.0861,4092.5,2,$323,578040
Paterson,NJ,New Jersey,Passaic,40.9147,-74.1624,6676.6,2,$323,269236
Corona,CA,California,Riverside,33.8616,-117.5649,1625.1,2,$323,530878
Merced,CA,California,Merced,37.3057,-120.4779,1396,2,$323,268284
Warner Robins,GA,Georgia,Houston,32.5961,-83.6527,786.6,2,$322,130275
Port Arthur,TX,Texas,Jefferson,29.8554,-93.9264,278.2,2,$322,80336
Macon,GA,Georgia,Bibb,32.8065,-83.6974,236.9,2,$322,127883
Kansas City,KS,Kansas,Wyandotte,39.1235,-94.7443,473.6,2,$322,109400
Lakewood,CO,Colorado,Jefferson,39.6977,-105.1172,1383.1,2,$322,428593
Sunnyvale,CA,California,Santa Clara,37.3836,-122.0255,2670.3,2,$321,1496640
Fredericksburg,VA,Virginia,Fredericksburg,38.2992,-77.4872,1073.6,2,$321,380811
Leesburg,FL,Florida,Lake,28.7672,-81.8962,232.4,2,$321,160916
Champaign,IL,Illinois,Champaign,40.1142,-88.2737,1482.7,2,$321,167518
Hollywood,FL,Florida,Broward,26.0293,-80.1679,2179.6,2,$321,294716
Pasadena,TX,Texas,Harris,29.6575,-95.1498,1348.4,2,$321,141212
Pomona,CA,California,Los Angeles,34.0585,-117.7626,2538.6,2,$320,446074
Escondido,CA,California,San Diego,33.1348,-117.0723,1554.9,2,$320,504049
Joliet,IL,Illinois,Will,41.5188,-88.1499,874,2,$320,203450
Lake Charles,LA,Louisiana,Calcasieu,30.201,-93.2111,657.2,2,$320,168734
Mesquite,TX,Texas,Dallas,32.7602,-96.5865,1120.3,2,$320,171086
Mauldin,SC,South Carolina,Greenville,34.7821,-82.3032,826.4,2,$319,179982
Panama City,FL,Florida,Bay,30.1995,-85.6003,395.2,2,$319,184419
Bellevue,WA,Washington,King,47.5951,-122.1535,1686.3,2,$319,950505
Naperville,IL,Illinois,DuPage,41.748,-88.1659,1459,2,$319,433339
Harlingen,TX,Texas,Cameron,26.1916,-97.6977,625.7,2,$319,94379
Tuscaloosa,AL,Alabama,Tuscaloosa,33.2348,-87.5268,627.3,2,$319,198688
Elkhart,IN,Indiana,Elkhart,41.6916,-85.9627,739.1,2,$318,99141
Torrance,CA,California,Los Angeles,33.8346,-118.3416,2717.9,2,$318,840155
Ramapo,NY,New York,Rockland,41.1404,-74.1072,861.9,2,$318,500018
Binghamton,NY,New York,Broome,42.1014,-75.9093,1651.3,2,$318,94696
Houma,LA,Louisiana,Terrebonne,29.58,-90.7059,882.1,2,$318,179523
Topeka,KS,Kansas,Shawnee,39.0346,-95.6955,788.4,2,$318,104602
Roseville,CA,California,Placer,38.7703,-121.3196,1216.3,2,$317,504787
Fairfield,CA,California,Solano,38.2583,-122.0335,1081.9,2,$317,457667
Tyler,TX,Texas,Smith,32.3184,-95.3062,711.4,2,$317,170371
Fullerton,CA,California,Orange,33.8841,-117.9279,2429.3,2,$317,697138
Pueblo,CO,Colorado,Pueblo,38.2701,-104.6114,768.2,2,$317,162893
Athens,GA,Georgia,Clarke,33.9508,-83.3689,414.8,2,$316,199003
Santa Maria,CA,California,Santa Barbara,34.9333,-120.4431,1786.2,2,$316,373689
Surprise,AZ,Arizona,Maricopa,33.6815,-112.4515,486.6,2,$316,280651
Charleston,WV,West Virginia,Kanawha,38.3484,-81.6322,579.4,2,$316,152076
Las Cruces,NM,New Mexico,Doña Ana,32.3265,-106.7893,516.7,2,$316,168869
Metairie,LA,Louisiana,Jefferson,29.9977,-90.178,2299.3,2,$316,259571
Thornton,CO,Colorado,Adams,39.9197,-104.9438,1550.7,2,$315,372586
Olathe,KS,Kansas,Johnson,38.8833,-94.82,866.8,2,$315,273236
Gainesville,GA,Georgia,Hall,34.2902,-83.8294,479,2,$315,244278
West Valley City,UT,Utah,Salt Lake,40.6886,-112.0123,1461.5,2,$315,270727
Orange,CA,California,Orange,33.8038,-117.8218,2095.7,2,$315,712545
Warren,MI,Michigan,Macomb,42.4934,-83.027,1507.1,2,$315,142004
Pasadena,CA,California,Los Angeles,34.1597,-118.139,2388,2,$314,862842
Beaumont,TX,Texas,Jefferson,30.0849,-94.1451,549.3,2,$314,123912
Burlington,NC,North Carolina,Alamance,36.076,-79.4685,696.3,2,$314,145376
Hampton,VA,Virginia,Hampton,37.0551,-76.363,1014.2,2,$314,189752
Columbia,MO,Missouri,Boone,38.9472,-92.3268,711.5,2,$314,214933
Yuma,AZ,Arizona,Yuma,32.5995,-114.5491,311.5,2,$313,151933
Elizabeth,NJ,New Jersey,Union,40.6658,-74.1913,4027,2,$313,314434
Racine,WI,Wisconsin,Racine,42.7274,-87.8135,1918.5,2,$313,125527
Greeley,CO,Colorado,Weld,40.4152,-104.7706,847.8,2,$313,295245
Kent,WA,Washington,King,47.3887,-122.2128,1484,2,$313,413066
Stamford,CT,Connecticut,Fairfield,41.1039,-73.5585,1334.9,2,$313,550798
Odessa,TX,Texas,Ector,31.8801,-102.3448,920,2,$312,163607
Bloomington,IL,Illinois,McLean,40.4757,-88.9703,1106.6,2,$312,168356
Miramar,FL,Florida,Broward,25.9773,-80.3351,1879.8,2,$312,334131
Grand Junction,CO,Colorado,Mesa,39.0877,-108.5673,594.6,2,$312,271233
